head,head_type,relation,tail,tail_type,relation_definition,sentence,sentence_number,canonical_relation
Warehouse Keeper,Party,acted on behalf of,depositor,Party,The Warehouse Keeper is responsible for managing goods stored by the depositor.,(iv) A 'Warehouse Keeper' with reference to the goods stored by a depositor.,221,acted on behalf of
Person,,,legal contract,,,35. use or disposal should be in violation of any direction of law prescribing the mode in which such trust is to be discharged or of any legal contract which the person has made touching the discharge of such trust.,213,defends itself in
Executor,Party,bequeathed to,legatees,Party,The Executor transfers ownership of the estate's assets to the legatees as per the will.,(i) An 'Executor' of a will with reference to the estate of the deceased bequeathed to legatees.,218,represents in
pledgee,Defendant,related to,goods,Property/Assets,Indicates the legal relationship between a Plaintiff and Property/Assets in the context of a pledge.,(vii) A pledgee with reference to the goods pledged by the owner borrower.,224,related to
Carrier,Company,has duty towards,Consignor,Company,The carrier has a legal obligation to handle goods entrusted by the consignor.,(v) A carrier with reference to goods entrusted for transport belonging to the consignor consignee.,222,has duty towards
Carrier,Company,has duty towards,Consignee,Company,The carrier has a legal obligation to deliver goods to the consignee as per the transport agreement.,(v) A carrier with reference to goods entrusted for transport belonging to the consignor consignee.,222,is bound by
A debtor,Party,with reference to,a property held in trust on behalf of the creditor,Defendant,The debtor is acting as a fiduciary holding property for the benefit of the creditor.,(viii) A debtor with reference to a property held in trust on behalf of the creditor in whose favour he has executed a deed of pledge cum trust.,225,with reference to
he,Suspect,has executed,a deed of pledge cum trust,Lawsuit,"The debtor has created a legal instrument (deed) in favor of the creditor, securing obligations through both a pledge and trust arrangement.",(viii) A debtor with reference to a property held in trust on behalf of the creditor in whose favour he has executed a deed of pledge cum trust.,225,has executed
A debtor,Party,managed or operated on behalf of,creditor,Creditor,Indicates that the Debtor is managing or operating property on behalf of the Creditor.,to be held in trust and operated by A debtor with reference to a property held in trust on behalf of the creditor in whose favour he has executed a deed of pledge cum trust.,227,managed or operated on behalf of
the owner,Party,pledges,movable property generally vehicle machinery,Property,The legal action where the owner transfers ownership of movable property to the creditor as security for a debt.,(Under such a deed the owner pledges the owner movable property generally vehicle machinery to the creditor thereby delivering possession of the movable property to the creditor and the creditor in turn delivers back his movable property generally vehicle machinery to A debtor with reference to a property held in trust on behalf of the creditor in whose favour he has executed a deed of pledge cum trust.,226,pledges
the creditor,Party,delivers possession,movable property generally vehicle machinery,Property,The legal action where the creditor transfers possession of movable property to the debtor under a deed of pledge cum trust.,(Under such a deed the owner pledges the owner movable property generally vehicle machinery to the creditor thereby delivering possession of the movable property to the creditor and the creditor in turn delivers back his movable property generally vehicle machinery to A debtor with reference to a property held in trust on behalf of the creditor in whose favour he has executed a deed of pledge cum trust.,226,seeks repeal of
Chelloor Mankkal Narayan Ittiravi Nambudiri,Plaintiff,filed lawsuit against,State of Travancore Cochin,Government,The Plaintiff filed a legal action against the Defendant in court.,In Chelloor Mankkal Narayan Ittiravi Nambudiri versus  State of Travancore Cochin AIR 1953 SC 478 1952 Indlaw SC 115 The High Court held,231,initiates legal action against
AIR 1953 SC 478,Judgment,is cited in,State of Travancore Cochin,Government,The Judgment is referenced in the case involving the State of Travancore Cochin.,In Chelloor Mankkal Narayan Ittiravi Nambudiri versus  State of Travancore Cochin AIR 1953 SC 478 1952 Indlaw SC 115 The High Court held,231,is cited in
Prosecution,Learned Counsel,represented by,Learned Counsel,Lawyer,The prosecution is represented by a learned counsel who acts on their behalf in legal proceedings.,to constitute an offence of criminal breach of trust it is essential that the prosecution must prove first of all that the accused was entrusted with some property or with any dominion or power over it.,232,is defended by
Prosecution,Learned Counsel,must prove that,the accused was entrusted with some property or with any dominion or power over it,Accused,"The prosecution must establish that the accused had a trust or authority over property, which is essential for proving criminal breach of trust.",to constitute an offence of criminal breach of trust it is essential that the prosecution must prove first of all that the accused was entrusted with some property or with any dominion or power over it.,232,establishes involvement in
the accused,Accused,dishonest misappropriation or dishonest conversion or dishonest use or disposal in violation of a direction of law or legal contract,movable property generally vehicle machinery so entrusted,Property,"The accused is alleged to have engaged in dishonest actions regarding the movable property, specifically involving misappropriation, conversion, use, or disposal contrary to legal directions or contracts.",it has to be established further that in respect of his movable property generally vehicle machinery so entrusted there was dishonest misappropriation or dishonest conversion or dishonest use or disposal in violation of a direction of law or legal contract by the accused himself or by someone else which himself willingly suffered to do.,233,charges with
Jaswantrai Manilal Akhaney,Plaintiff,versus,State of Bombay,Government,Indicates a legal case where one party is suing another.,In Jaswantrai Manilal Akhaney versus State of Bombay AIR 1956 SC 575 1956 Indlaw SC 16 The High Court reiterated that the first ingredient to be proved in respect of a criminal breach of trust is 'entrustment'.,238,files against
High Court,Court,reiterated,criminal breach of trust,Criminal Act,The High Court emphasized the necessity of proving 'entrustment' in cases of criminal breach of trust.,In Jaswantrai Manilal Akhaney versus State of Bombay AIR 1956 SC 575 1956 Indlaw SC 16 The High Court reiterated that the first ingredient to be proved in respect of a criminal breach of trust is 'entrustment'.,238,reiterated
trust,Organization,makes it over,owner of property,Party,Indicates that the Trust transfers property ownership from one Party to another based on specific conditions.,trust contemplates the creation of a relationship whereby the owner of property makes it over to another person to be retained by him until a certain contingency arises or to be disposed of by him on the happening of a certain event.,242,makes it over
trust,Organization,relates to,contingent event,Case,Indicates that the Trust is created with conditions based on specific events or contingencies.,trust contemplates the creation of a relationship whereby the owner of property makes it over to another person to be retained by him until a certain contingency arises or to be disposed of by him on the happening of a certain event.,242,relates to
S. 405,Provision,defines,criminal breach of trust,Criminal Act,A specific provision (statute) defines a particular criminal act.,But when S. 405 which defines criminal breach of trust speaks of a person being in any manner entrusted with property trust does not contemplate the creation of a trust with all the technicalities of the law of trust.,241,defines
'entrustment',Ratio-Decidendi,relates to,hypothecation,Jurisdiction,The legal concept of entrustment in the context of hypothecation involves determining whether there is a transfer or delegation of rights.,The question is whether there is 'entrustment' in an hypothecation,245,relates to
hypothecation,Jurisdiction,involves,'entrustment',Ratio-Decidendi,Hypothecation is a legal process that may involve the concept of entrustment in determining property rights.,The question is whether there is 'entrustment' in an hypothecation,245,authorizes review of
The creditor,Plaintiff,may have the right to claim payment from,the sale proceeds,Proceeds,"A legal right for a creditor to obtain payment from the proceeds of a sale, subject to certain conditions.",The creditor may also have the right to claim payment from the sale proceeds (if such proceeds are identifiable and available).,249,may have the right to claim payment from
The creditor,Plaintiff,has an equitable charge over,the property,Location,A legal right given to the creditor to hold the property as security for a debt.,The creditor has an equitable charge over the property and is given a right to take possession and sell the hypothecated movables to recover his dues (note we are not expressing any opinion on this matter).,248,has an equitable charge over
The creditor,Plaintiff,is given a right to take possession and sell,the hypothecated movables,Dispute,A legal authority granted to the creditor to take control of and dispose of specific items as part of recovering a debt.,The creditor has an equitable charge over the property and is given a right to take possession and sell the hypothecated movables to recover his dues (note we are not expressing any opinion on this matter).,248,is given a right to take possession and sell
The borrower,Party,enters into an agreement with,the lender,Organization,A legal contract between two parties (borrower and lender) outlining terms and conditions.,The borrower enters into an agreement with the lender to hand over the possession of the hypothecated asset whenever called upon to do so.,254,establishes agreement between
The borrower,Party,is obligated to hand over the possession of,the hypothecated asset,Asset,A legal obligation for the borrower to transfer ownership or possession of a specific asset as part of the agreement.,The borrower enters into an agreement with the lender to hand over the possession of the hypothecated asset whenever called upon to do so.,254,is bound by
the debtor,Debtor,ownership of,the movable property,,,Both ownership of the movable property and possession thereof remain with the debtor.,247,ownership of
section 2(n),Statute,borrowed from,Securitisation and Reconstruction of Financial Assets Enforcement of Security Interest Act 2002,Statute,The content is derived from a specific section of the act.,(Borrowed from section  2(n) of Securitisation and Reconstruction of Financial Assets Enforcement of Security Interest Act 2002),259,borrowed from
The charge of 'Hypothecation',Charge,is converted into,a pledge,Pledge,"The legal process where a hypothecation charge is transformed into a pledge, granting the lender specific rights.",The charge of 'Hypothecation' is then converted into that of a pledge and the lender enjoys the rights of a pledgee.,255,is converted into
the lender,Organization,enjoys the rights of,a pledgee,Party,The lender acquires the legal standing and benefits associated with being a pledgee under the converted charge.,The charge of 'Hypothecation' is then converted into that of a pledge and the lender enjoys the rights of a pledgee.,255,enjoys the rights of
hypothecatee,Party,entrustment of property,hypothecator,Party,The transfer of ownership or control from the creditor (hypothecatee) to the debtor (hypothecator),But there is number 'entrustment of the property' or 'entrustment of dominion over the property' by the hypothecatee (creditor) to the hypothecator (debtor) in an hypothecation.,262,entrustment of property
hypothecatee,Party,entrustment of dominion over property,hypothecator,Party,The transfer of authority or control from the creditor (hypothecatee) to the debtor (hypothecator),But there is number 'entrustment of the property' or 'entrustment of dominion over the property' by the hypothecatee (creditor) to the hypothecator (debtor) in an hypothecation.,262,entrustment of dominion over property
Central Bureau of Investigation,Party,versus,Duncans Agro Industries limited,Party,Indicates a legal case between two parties.,The question directly arose for consideration in Central Bureau of Investigation versus  Duncans Agro Industries limited Calcutta 1996 (5) SCC 591 .,266,permits representation in
Duncans Agro Industries,Organization,related to,complaint against the accused for offences of criminal breach of trust,Lawsuit,The organization is associated with a legal complaint involving criminal charges.,1996 Indlaw SC 2982 Duncans Agro Industries related to a complaint against the accused for offences of criminal breach of trust.,267,related to
Duncans Agro Industries,Organization,was alleged that,debtor,Party,Plaintiff accused Defendant of creating a floating charge on goods as security.,Duncans Agro Industries was alleged that a floating charge was created by the accused debtor on the goods by way of security under a deed of hypothecation in favour of a bank to cover credit facility and that the said goods were disposed of by the debtor.,268,was alleged that
a floating charge,Criminal Act,was created by way of security under a deed of hypothecation in favour of,bank,Government,A legal mechanism to secure credit facilities was established.,Duncans Agro Industries was alleged that a floating charge was created by the accused debtor on the goods by way of security under a deed of hypothecation in favour of a bank to cover credit facility and that the said goods were disposed of by the debtor.,268,was created by way of security under a deed of hypothecation in favour of
a bank,Government,to cover,credit facility,Contract,Bank extended credit facilities as secured by the floating charge.,Duncans Agro Industries was alleged that a floating charge was created by the accused debtor on the goods by way of security under a deed of hypothecation in favour of a bank to cover credit facility and that the said goods were disposed of by the debtor.,268,to cover
the disposal of the said goods,Suspect,amounted to,criminal breach of trust,Criminal Act,The disposal was argued to constitute a criminal act involving dishonest handling of property.,It was contended that the disposal of the said goods amounted to criminal breach of trust.,271,amounted to
The High Court,Court,held that a complaint can be quashed at the threshold,Complaint,Lawsuit,The court's decision or ruling regarding the dismissal of a complaint at an early stage.,Negativing the said contention The High Court after stating the principle as to when a complaint can be quashed at the threshold held thus,272,held that a complaint can be quashed at the threshold
the learned counsel,Learned Counsel,has raised,a serious dispute,Dispute,The learned counsel has initiated or presented a serious legal disagreement or issue.,.a serious dispute has been raised by the learned counsel as to whether on the face of the allegations an offence of criminal breach of trust is constituted or not.,273,presents on behalf of
Section 405 IPC,Provision,has been used in a wide sense,'entrusted with property' or 'with any dominion over property',Expression,The legal provision defines the expression in a broad context.,In our view the expression 'entrusted with property' or 'with any dominion over property' has been used in a wide sense in Section 405 I.PC Such expression includes all cases in which goods are entrusted that is voluntarily handed over for a specific purpose and dishonestly disposed of in violation of law or in violation of contract.,274,has been used in a wide sense
'entrusted',Term/Word,appearance in,Section 405 I.PC,Statute,The term appears within the specified section of the statute.,The expression 'entrusted' appearing in Section 405 I.PC is not necessarily a term of law.,275,appearance in
accused,Accused,must hold I.PC on account of some person or in some way for some person benefit,property,Property,The accused holds the property for another party's benefit.,I.PC is however necessary that the ownership or beneficial interest in the ownership of the property entrusted in respect of which offence is alleged to have been committed must be in some person other than the accused and the latter must hold I.PC on account of some person or in some way for some person benefit.,277,must hold I.PC on account of some person or in some way for some person benefit
a person,Suspect,hypothecates,some goods,Property,The act of hypothecating involves creating a lien on the goods without transferring ownership.,When some goods are hypothecated by a person to another person the ownership of some goods still remains with the person who has hypothecated such goods.,279,hypothecates
the ownership,Property,remains with,the person who has hypothecated such goods,Party,"The ownership of the goods remains with the person who performed the hypothecation, indicating that hypothecation does not transfer title.",When some goods are hypothecated by a person to another person the ownership of some goods still remains with the person who has hypothecated such goods.,279,remains with
trustee,Trustee,has been used to denote,beneficiary,Beneficiary,The relationship between a trustee and beneficiary under Section 405 I.PC.,The expression 'trust' in Section 405 I.PC is a comprehensive expression and has been used to denote various kinds of relationship like the relationship of trustee and beneficiary bailor and bailee master and servant pledger and pledgee.,278,has been used to denote
bailor,Party,has been used to denote,bailee,Party,The relationship between a bailor and bailee under Section 405 I.PC.,The expression 'trust' in Section 405 I.PC is a comprehensive expression and has been used to denote various kinds of relationship like the relationship of trustee and beneficiary bailor and bailee master and servant pledger and pledgee.,278,has been used to denote
master,Party,has been used to denote,servant,Party,The relationship between a master and servant under Section 405 I.PC.,The expression 'trust' in Section 405 I.PC is a comprehensive expression and has been used to denote various kinds of relationship like the relationship of trustee and beneficiary bailor and bailee master and servant pledger and pledgee.,278,has been used to denote
pledger,Party,has been used to denote,pledgee,Defendant,The relationship between a pledger and pledgee under Section 405 I.PC.,The expression 'trust' in Section 405 I.PC is a comprehensive expression and has been used to denote various kinds of relationship like the relationship of trustee and beneficiary bailor and bailee master and servant pledger and pledgee.,278,has been used to denote
the person,Defendant,owns,pledged article,Property,The legal relationship where the owner of the pledged article is identified as a party in the case.,In a case of pledge the pledged article belongs to some other person but the same is kept in trust by the pledgee.,281,claims ownership of
pledgee,Defendant,holds in trust,pledged article,Property,The legal relationship where the pledgee is responsible for keeping the pledged article in trust.,In a case of pledge the pledged article belongs to some other person but the same is kept in trust by the pledgee.,281,holds in trust
disposing of the goods,Criminal Act,does not commit,offence of criminal breach of trust,Criminal Act,The act of disposing of goods as security against a credit facility does not amount to the offence of criminal breach of trust.,In our view in such case for disposing of the goods covering the security against credit facility the offence of criminal breach of trust is not committed.,283,does not commit
Ms. Priya Sharma,Learned Counsel,represented,Global Tech Solutions,Organization,The legal representative (learned counsel) for the organization.,"Ms. Priya Sharma, represented the Global Tech Solutions, in an appeal case at the Mumbai High Court.",284,represents in
Global Tech Solutions,Organization,was involved in,appeal case,Appeal,The organization's involvement in a legal appeal process.,"Ms. Priya Sharma, represented the Global Tech Solutions, in an appeal case at the Mumbai High Court.",284,handles filing of
Floating Charge,Jurisdiction,was made on,Goods,Security,,In a case of pledge a floating charge was made on some goods by way of security to cover up credit facility.,282,was made on
Goods,Security,pledged as security for,Contract,,,In a case of pledge a floating charge was made on some goods by way of security to cover up credit facility.,282,pledged as security for
NEPC India,Defendant,owned and possessed,aircrafts,Property,The legal relationship indicating that NEPC India retained ownership and possession of the aircrafts under the terms of hypothecation.,The terms of hypothecation extracted in the complaint show that the ownership and possession of the aircrafts continued with NEPC India.,288,owned and possessed
IOC,Plaintiff,failed to deliver possession of,the aircraft,Property,Indicates that IOC did not transfer ownership or control over the aircraft.,Possession of the aircraft neither actual nor symbolic was delivered to IOC.,289,failed to deliver possession of
NEPC India,Defendant,was entitled to use and maintain,aircraft in good state of repairs,Contract,Indicates that NEPC India had a contractual right to both operate and uphold the aircraft's condition.,NEPC India was entitled to use the aircraft and maintain the aircraft in good state of repairs.,290,confers authority under
IOC,Plaintiff,possessed in exercise of right,aircraft,Property,The Organization (IOC) possesses the aircraft under rights derived from the Deed of Hypothecation.,It is not the case of IOC that it took possession of the aircraft in exercise of the right vested in possession of the aircraft under the Deed of Hypothecation.,294,possessed in exercise of right
NEPC India,Defendant,owns,aircrafts,Property,Indicates ownership of the aircrafts.,Thus as the possession of the aircraft remained all along with NEPC India in NEPC India capacity as the owner and the Deed of Hypothecation merely created a charge over the aircrafts with a right to take possession in the event of default it cannot be said that there was either entrustment of the aircrafts or entrustment of the dominion over the aircrafts by IOC to NEPC India.,295,owns
Deed of Hypothecation,Contract,created,charge,Legal Document Clause,Creates a legal charge over the aircrafts as security.,Thus as the possession of the aircraft remained all along with NEPC India in NEPC India capacity as the owner and the Deed of Hypothecation merely created a charge over the aircrafts with a right to take possession in the event of default it cannot be said that there was either entrustment of the aircrafts or entrustment of the dominion over the aircrafts by IOC to NEPC India.,295,regulates activities of
IOC,Plaintiff,was given the right,Hypothecation Deed,Legal Document,The Hypothecation Deed grants IOC the right to take possession of the aircrafts in case of default.,IOC was given the right to take possession of the hypothecated aircrafts only in the event of any default as mentioned in the Hypothecation Deed.,293,authorizes handling of
Duncan Agro 1996 Indlaw SC 2982,Judgment,recognizes,criminal breach of trust,Criminal Act,A legal case recognizing a specific type of criminal act.,It was pointed out that Duncan Agro 1996 Indlaw SC 2982 itself recognizes that there can be criminal breach of trust where a beneficial interest exists in the other person and the offender holds the property in trust for such person.,300,recognizes
a beneficial interest exists,Individual,owns,property,Property,An individual has a legal entitlement to property held in trust.,It was pointed out that Duncan Agro 1996 Indlaw SC 2982 itself recognizes that there can be criminal breach of trust where a beneficial interest exists in the other person and the offender holds the property in trust for such person.,300,owns
the offender,Accused,holds property in trust for,such person,Individual,An accused party is responsible for holding property in trust for another individual.,It was pointed out that Duncan Agro 1996 Indlaw SC 2982 itself recognizes that there can be criminal breach of trust where a beneficial interest exists in the other person and the offender holds the property in trust for such person.,300,holds property in trust for
NEPC India,Defendant,executed,Deed of Hypothecation,Contract,The act of creating the Deed of Hypothecation by NEPC India.,It is submitted that when the Deed of Hypothecation was executed by NEPC India in favour of IOC the hypothecation created a beneficial interest in the property in favour of IOC and vis ' vis such 'beneficial interest' of IOC the possession of the property by NEPC India was in 'trust'.,301,executed
Deed of Hypothecation,Contract,created a beneficial interest in,IOC,Plaintiff,The Deed created a beneficial interest in the property in favour of IOC.,It is submitted that when the Deed of Hypothecation was executed by NEPC India in favour of IOC the hypothecation created a beneficial interest in the property in favour of IOC and vis ' vis such 'beneficial interest' of IOC the possession of the property by NEPC India was in 'trust'.,301,created a beneficial interest in
NEPC India,Defendant,was in trust for,IOC,Plaintiff,The possession of the property by NEPC India was held in trust for IOC.,It is submitted that when the Deed of Hypothecation was executed by NEPC India in favour of IOC the hypothecation created a beneficial interest in the property in favour of IOC and vis ' vis such 'beneficial interest' of IOC the possession of the property by NEPC India was in 'trust'.,301,was in trust for
NEPC India,Defendant,possessed the property in trust for,IOC,Plaintiff,NEPC India possessed the property on behalf of IOC under a trust arrangement.,It is submitted that when the Deed of Hypothecation was executed by NEPC India in favour of IOC the hypothecation created a beneficial interest in the property in favour of IOC and vis ' vis such 'beneficial interest' of IOC the possession of the property by NEPC India was in 'trust'.,301,possessed the property in trust for
Learned Counsel,Lawyer,placed reliance on,Decision of the Sind Judicial Commissioner in Gobindram C Motwani versus Emperor (1938) 39 Cr.LJ 509,Court Decision,The act of citing a previous court decision to support an argument.,In support of this contention reliance was placed on a decision of the Sind Judicial Commissioner in Gobindram C Motwani versus Emperor (1938) 39 Cr.LJ 509,302,placed reliance on
the complaint,Lawsuit,was that,the accused,Accused,The legal action (complaint) was brought against the accused.,In a case of pledge the complaint was that the accused had hypothecated the goods in the goods shop as collateral security against an advance and had agreed to hold the goods and proceeds thereof in trust and to pay the proceeds as and when received by the goods.,303,invokes breach of
the accused,Accused,had hypothecated,the goods,Goods,The defendant had pledged or used the goods as collateral security.,In a case of pledge the complaint was that the accused had hypothecated the goods in the goods shop as collateral security against an advance and had agreed to hold the goods and proceeds thereof in trust and to pay the proceeds as and when received by the goods.,303,challenges legality of
the accused,Accused,had agreed to hold,the goods,Goods,The defendant had agreed to retain possession of the goods.,In a case of pledge the complaint was that the accused had hypothecated the goods in the goods shop as collateral security against an advance and had agreed to hold the goods and proceeds thereof in trust and to pay the proceeds as and when received by the goods.,303,challenges validity of
the accused,Accused,had agreed to pay,the proceeds,Proceeds,The defendant had agreed to remit the proceeds of the goods when received.,In a case of pledge the complaint was that the accused had hypothecated the goods in the goods shop as collateral security against an advance and had agreed to hold the goods and proceeds thereof in trust and to pay the proceeds as and when received by the goods.,303,had agreed to pay
The Magistrate,Court Official - Judge or Bench,took the view that,the hypothecated goods were still the property of the accused,Property,The Magistrate's opinion regarding the ownership and legal status of the hypothecated goods.,The Magistrate took the view that as the hypothecated goods were still the property of the accused the accused could not commit criminal breach of trust in respect of the accused own property.,307,took the view that
the accused,Accused,could not commit criminal breach of trust in respect of,the accused's own property,Property,The Magistrate's ruling on the legal inability to commit a criminal breach of trust regarding one's own property.,The Magistrate took the view that as the hypothecated goods were still the property of the accused the accused could not commit criminal breach of trust in respect of the accused own property.,307,could not commit criminal breach of trust in respect of
Sind Judicial Commissioner,Court Official - Judge or Bench,did not agree,Gobindram C Motwani,Case,The Sind Judicial Commissioner expressed disagreement with the case outcome or decision in Gobindram C Motwani.,the Sind Judicial Commissioner in Gobindram C Motwani did not agree.,308,did not agree
the goods,Goods,committed,criminal breach of trust,Criminal Act,The Defendant committed a Criminal Act.,However as the goods did not pay the proceeds the complaint was that the goods committed criminal breach of trust.,306,committed
Learned Counsel,Lawyer,represented,Appellant,Appellant,,Learned counsel for the appellant however sought to distinguish the decision in Duncan Agro 1996 Indlaw SC 2982 on two grounds.,299,defends itself in
Learned Counsel,Lawyer,sought to distinguish,decision in Duncan Agro 1996 Indlaw SC 2982,Decision,,Learned counsel for the appellant however sought to distinguish the decision in Duncan Agro 1996 Indlaw SC 2982 on two grounds.,299,defends itself in
Sind Judicial Commissioner,Court Official - Judge or Bench,held,,,Indicates that the Sind Judicial Commissioner held court sessions.,the Sind Judicial Commissioner in Gobindram C Motwani held,309,held
Sind Judicial Commissioner,Court Official - Judge or Bench,addressed in case number reason,Gobindram C Motwani,Case,The court is addressing the reasons behind a case involving Gobindram C Motwani.,I can the Sind Judicial Commissioner in Gobindram C Motwani see number reason why it should be said that by this trust receipt the accused did not give a beneficial interest in the goods to the applicant and did not hold the goods with which they were entrusted as legal owners in trust for the applicant.,312,evaluates in context of
accused,Accused,did not give a beneficial interest in the goods to,applicant,Party,The accused failed to provide a beneficial interest in goods to the applicant.,I can the Sind Judicial Commissioner in Gobindram C Motwani see number reason why it should be said that by this trust receipt the accused did not give a beneficial interest in the goods to the applicant and did not hold the goods with which they were entrusted as legal owners in trust for the applicant.,312,did not give a beneficial interest in the goods to
accused,Accused,did not hold the goods with which they were entrusted as legal owners in trust for,applicant,Party,The accused failed to retain the goods as legal owners in trust for the applicant.,I can the Sind Judicial Commissioner in Gobindram C Motwani see number reason why it should be said that by this trust receipt the accused did not give a beneficial interest in the goods to the applicant and did not hold the goods with which they were entrusted as legal owners in trust for the applicant.,312,denies breach of
owner of the goods,Party,owned by,accused,Accused,The owner has legal rights over the goods.,If the owner of the goods the accused did so the owner of the goods the accused held the goods as trustees...,311,claims ownership of
accused,Accused,held as trustee for,owner of the goods,Party,The accused held the goods in a trust relationship for the owner.,...the owner of the goods the accused held the goods as trustees...,311,held as trustee for
The test in a case of pledge,Test,appears to,Sind Judicial Commissioner in Gobindram C Motwani,Judicial Commissioner,The legal test appears before the judicial commissioner.,The test in a case of pledge appears to the Sind Judicial Commissioner in Gobindram C Motwani to be whether the owner of the goods the accused created an equitable charge over the goods in the owner of the goods the accused possession when the owner of the goods the accused executed the trust receipt.,310,reviews before ruling on
The owner of the goods,Owner,created an equitable charge over,the goods in the owner of the goods possession,Possession,The owner created an equitable charge over their own goods.,The test in a case of pledge appears to the Sind Judicial Commissioner in Gobindram C Motwani to be whether the owner of the goods the accused created an equitable charge over the goods in the owner of the goods the accused possession when the owner of the goods the accused executed the trust receipt.,310,created an equitable charge over
The owner of the goods,Owner,executed,the trust receipt,Trust Receipt,The owner executed a trust receipt to create an equitable charge.,The test in a case of pledge appears to the Sind Judicial Commissioner in Gobindram C Motwani to be whether the owner of the goods the accused created an equitable charge over the goods in the owner of the goods the accused possession when the owner of the goods the accused executed the trust receipt.,310,executed
The Magistrate,Court Official - Judge or Bench,decision,Judgment,Judgment,A court's decision or judgment is the official determination of a legal case.,That being so I think The Magistrate was wrong in The Magistrate decision that the accused could not be guilty of criminal breach of trust because the goods were the goods own property.,313,renders decision in
The Magistrate's decision,Judgment,that the accused could not be guilty of,Criminal Breach of Trust,Criminal Act,A court's judgment determining that an accused is not guilty of a criminal act.,That being so I think The Magistrate was wrong in The Magistrate decision that the accused could not be guilty of criminal breach of trust because the goods were the goods own property.,313,that the accused could not be guilty of
Sind Judicial Commissioner,Court Official - Judge or Bench,in,Gobindram C Motwani,Case,The Judicial Commissioner was involved in the case.,It is evident that the said observations were made on the peculiar facts of a case of pledge where the Sind Judicial Commissioner in Gobindram C Motwani concluded that the goods were held by the accused in trust as trustee in view of execution of a 'Trust Receipt' by the accused.,316,evaluates in context of
the accused,Accused,executed a 'Trust Receipt',a Trust Receipt,Contract,The accused executed a legal document (Trust Receipt).,It is evident that the said observations were made on the peculiar facts of a case of pledge where the Sind Judicial Commissioner in Gobindram C Motwani concluded that the goods were held by the accused in trust as trustee in view of execution of a 'Trust Receipt' by the accused.,316,executed a 'Trust Receipt'
appellant,Appellant,did not provide assistance to,decision,Judgment,The decision failed to offer meaningful assistance or support to the appellant in their legal matter.,The said decision is therefore of number assistance to the appellant.,321,did not provide assistance to
Sind Judicial Commissioner,Court Official - Judge or Bench,observed,Gobindram C Motwani,Case,The Court Official observed the legal case involving the Party.,Further the Sind Judicial Commissioner in Gobindram C Motwani finally observed that there was so much room for an honest difference of opinion as to the rights and liabilities of the parties to the trust receipt that number useful purpose could be served in interfering with the order of discharge by The Magistrate.,320,evaluates in context of
Sind Judicial Commissioner,Court Official - Judge or Bench,observed,The Magistrate,Court Official - Judge or Bench,The Court Official expressed that there was no useful purpose in interfering with the lower court's order.,Further the Sind Judicial Commissioner in Gobindram C Motwani finally observed that there was so much room for an honest difference of opinion as to the rights and liabilities of the parties to the trust receipt that number useful purpose could be served in interfering with the order of discharge by The Magistrate.,320,observed
the appellant,Appellant,relied on,observations,Observation,The appellant is relying on legal observations to support their appeal.,If the observations relied on by the appellant are to be interpreted as holding that the debtor holds the hypothecated goods in trust for the creditor then the observations relied on by the appellant are contrary to the decision of this Court in Duncan Agro 1996 Indlaw SC 2982 (supra) which specifically holds that when goods are hypothecated the owner does not hold the goods in trust for the creditor.,324,argues grounds for
the debtor,Debtor,holds ... in trust,creditor,Creditor,The debtor is interpreted as holding goods in trust for the creditor based on the appellant's observations.,If the observations relied on by the appellant are to be interpreted as holding that the debtor holds the hypothecated goods in trust for the creditor then the observations relied on by the appellant are contrary to the decision of this Court in Duncan Agro 1996 Indlaw SC 2982 (supra) which specifically holds that when goods are hypothecated the owner does not hold the goods in trust for the creditor.,324,invokes for defense
the observations relied on by the appellant,Observation,are contrary to,decision of this Court in Duncan Agro 1996 Indlaw SC 2982 (supra),Court Decision,The appellant's observations are found to be contradictory to a previous court decision.,If the observations relied on by the appellant are to be interpreted as holding that the debtor holds the hypothecated goods in trust for the creditor then the observations relied on by the appellant are contrary to the decision of this Court in Duncan Agro 1996 Indlaw SC 2982 (supra) which specifically holds that when goods are hypothecated the owner does not hold the goods in trust for the creditor.,324,are contrary to
this Court,Court,holds,when goods are hypothecated the owner does not hold the goods in trust for the creditor,Legal Decision,The court has made a specific holding regarding hypothecated goods and trust relationships.,which specifically holds that when goods are hypothecated the owner does not hold the goods in trust for the creditor.,324,holds
A charge over the hypothecated goods,Contract,is in favor of,the creditor,Party,Indicates that the security interest (charge) is granted to protect the creditor's rights.,A charge over the hypothecated goods in favour of the creditor cannot be said to create a beneficial interest in the creditor until and unless the creditor in exercise of A charge over the hypothecated goods in favour of the creditor rights under the deed takes possession.,327,is in favor of
the creditor,Party,in exercise of,rights under the deed,Contract,Refers to the rights outlined in a legal agreement (deed) that allow the creditor to take possession.,A charge over the hypothecated goods in favour of the creditor cannot be said to create a beneficial interest in the creditor until and unless the creditor in exercise of A charge over the hypothecated goods in favour of the creditor rights under the deed takes possession.,327,invokes provision of
trustee,Trustee,owns,trust property,Property,The trustee owns the trust property as part of the trust arrangement.,When a trust is created vesting a property in the trustee the right of the beneficiary against the trustee (who is the owner of the trust property) is known as the 'beneficial interest'.,331,owns
