head,head_type,relation,tail,tail_type,relation_definition,sentence,sentence_number
sections 378,Criminal Act,constitute,criminal offence,Criminal Act,Section 378 of IPC was used to determine if the allegations constituted a criminal act.,"Even if all the allegations in the complaints were taken as true, they did not constitute any criminal offence as defined under sections 378, 403, 405, 415, or 425 IPC.",77
sections 403,Criminal Act,constitute,criminal offence,Criminal Act,Section 403 of IPC was used to determine if the allegations constituted a criminal act.,"Even if all the allegations in the complaints were taken as true, they did not constitute any criminal offence as defined under sections 378, 403, 405, 415, or 425 IPC.",77
sections 405,Criminal Act,constitute,criminal offence,Criminal Act,Section 405 of IPC was used to determine if the allegations constituted a criminal act.,"Even if all the allegations in the complaints were taken as true, they did not constitute any criminal offence as defined under sections 378, 403, 405, 415, or 425 IPC.",77
sections 415,Criminal Act,constitute,criminal offence,Criminal Act,Section 415 of IPC was used to determine if the allegations constituted a criminal act.,"Even if all the allegations in the complaints were taken as true, they did not constitute any criminal offence as defined under sections 378, 403, 405, 415, or 425 IPC.",77
sections 425,Criminal Act,constitute,criminal offence,Criminal Act,Section 425 of IPC was used to determine if the allegations constituted a criminal act.,"Even if all the allegations in the complaints were taken as true, they did not constitute any criminal offence as defined under sections 378, 403, 405, 415, or 425 IPC.",77
Criminal Allegations,dispute,did not constitute,Criminal Offence,criminal offence,"The allegations do not meet the legal criteria under IPC sections 378, 403, etc., to be classified as criminal offences.",(ii) Even if all the allegations in the complaints were taken as true they did not constitute any criminal offence as defined under sections 378 403 405 415 or 425 IPC.,77
The complaints,Legal claim,related to,purely contractual disputes,Contract,,(i) The complaints related to purely contractual disputes of a civil nature in respect of which IOC had already sought injunctive reliefs and money decrees.,76
IOC,Company,had sought,injunctive reliefs and money decrees,Legal remedy,,(i) The complaints related to purely contractual disputes of a civil nature in respect of which IOC had already sought injunctive reliefs and money decrees.,76
disputes,Dispute,related to,purely contractual disputes of a civil nature,,,(i) The complaints related to purely contractual disputes of a civil nature in respect of which IOC had already sought injunctive reliefs and money decrees.,76
IOC,Petitioner,sought,injunctive reliefs and money decrees,Argument,,(i) The complaints related to purely contractual disputes of a civil nature in respect of which IOC had already sought injunctive reliefs and money decrees.,76
Court,,accepted,Respondents,defendant,,It accepted the second ground urged by the Respondents herein but rejected the first ground.,81
High Court,Court,allowed,Petitions,Case,,The High Court by common judgment dated 2332001 allowed both the petitions and quashed the two complaints.,80
High Court,Court,quashed,Complaints,Case,,The High Court by common judgment dated 2332001 allowed both the petitions and quashed the two complaints.,80
,,,,,,The High Court by common judgment dated 2332001 allowed both the petitions and quashed the two complaints.,80
,,,,,,The High Court by common judgment dated 2332001 allowed both the petitions and quashed the two complaints.,80
High Court,Location,allowed,petitions,legal document,,The High Court by common judgment dated 2332001 allowed both the petitions and quashed the two complaints.,80
High Court,Location,quashed,complaints,legal document,,The High Court by common judgment dated 2332001 allowed both the petitions and quashed the two complaints.,80
rival contentions,Party,the following points arise from,points,Provision,Rival contentions led to the consideration of specific legal provisions.,"On the rival contentions urged, the following points arise for consideration.",83
The said order,Judgment,challenged by,these appeals,Case,,The said order of the High Court is under challenge in these appeals.,82
High Court,Court,issued,The said order,Judgment,,The said order of the High Court is under challenge in these appeals.,82
High Court,,is under challenge by,these appeals,,,The said order of the High Court is under challenge in these appeals.,82
High Court,Court Official - Judge or Bench,is under challenge,appeals,Appeal,The High Court's order is being challenged in these appeals.,The said order of the High Court is under challenge in these appeals.,82
said order,Order,is under challenge by,appeals,Appeal,The said legal order is being challenged through these appeals.,The said order of the High Court is under challenge in these appeals.,82
,,,,,,Whether existence or availment of civil remedy in respect of disputes arising from breach of contract bars remedy under criminal law.,84
Contract,contract,arising from,criminal law,criminal act,"A breach of contract can lead to actions that may be classified as criminal acts, potentially barring criminal law remedies.",(i) Whether existence or availment of civil remedy in respect of disputes arising from breach of contract bars remedy under criminal law.,84
civil remedy,civil remedy,existence or availment of,criminal law,criminal law,the existence or availment of a civil remedy can bar a remedy under criminal law.,Whether the existence or availment of a civil remedy in respect of disputes arising from breach of contract bars remedy under criminal law.,84
breach of contract,dispute,arising from,civil remedy,civil remedy,disputes arising from breach of contract relate to the availability of a civil remedy.,Whether the existence or availment of a civil remedy in respect of disputes arising from breach of contract bars remedy under criminal law.,84
dispute,dispute,bars,criminal law,criminal law,a dispute (breach of contract) can bar a remedy under criminal law.,Whether the existence or availment of a civil remedy in respect of disputes arising from breach of contract bars remedy under criminal law.,84
allegations in the complaint,statute,constitutes any offence under,sections 378 403 405 415 or 425 IPC,statute,Accepting the allegations as true could lead to consideration of offences under these specific sections of the Indian Penal Code.,Whether the allegations in the complaint if accepted on face value constitute any offence under sections 378 403 405 415 or 425 IPC.,85
The difinition,,,,,,The difinition demonstrated that they are not in the position of fixing a deal.,88
definition,provision,relating to exercise of jurisdiction under section,jurisdiction,jurisdiction,the legal definition establishes the parameters of judicial authority under a specific clause or statute.,"The definition demonstrated that they are not in the position of fixing a deal, relating to exercise of jurisdiction under section.",89
this Court,court,has stated and reiterated,several decisions,judicial actions,The court has made several decisions regarding the quashing of complaints and criminal proceedings.,482 of the Code of Criminal Procedure to quash complaints and criminal proceedings have been stated and reiterated by this Court in several decisions.,90
482 of the Code of Criminal Procedure,statute,deals with,complaints and criminal proceedings,,,482 of the Code of Criminal Procedure to quash complaints and criminal proceedings have been stated and reiterated by this Court in several decisions.,90
482,Provision,used to quash,criminal proceedings,Criminal Proceeding,,482 of the Code of Criminal Procedure to quash complaints and criminal proceedings have been stated and reiterated by this Court in several decisions.,90
Code of Criminal Procedure,Government,jurisdiction over,cases,Case,,482 of the Code of Criminal Procedure to quash complaints and criminal proceedings have been stated and reiterated by this Court in several decisions.,90
this Court,Court Official - Judge or Bench,stated and reiterated,several Cases,Case,,482 of the Code of Criminal Procedure to quash complaints and criminal proceedings have been stated and reiterated by this Court in several decisions.,90
Sharaful Haque,plaintiff,filed,2005 (1) SCC 122,case,the plaintiff filed a case,Sharaful Haque filed the case 2005 (1) SCC 122.,92
Sharaful Haque,Party,cited in,(1) SCC 122,Ratio-Decidendi,This case was referenced as a legal principle.,Sharaful Haque 2005 (1) SCC 122 .,92
Sharaful Haque,petitioner,filed,(1) SCC 122,case_number,"the petitioner initiated a legal action, referred to as case number (1) SCC 122.",Sharaful Haque filed the legal action referred to as case number (1) SCC 122.,92
2004 Indlaw SC 899,court case - judgment,contain the,principles relevant to our purpose,ratio-decidendi,The court case's judgment contains the legal principles relevant to the matter at hand.,2004 Indlaw SC 899 The principles relevant to our purpose are...,93
complaint,Defendant,can be quashed where the allegations made in the complaint even if they are taken at their face value and accepted in their entirety do not prima facie constitute any offence or make out the case alleged against the accused.,accused,defendant,A complaint can be quashed if it lacks sufficient grounds to proceed against the defendant.,(i) A complaint can be quashed where the allegations made in the complaint even if they are taken at their face value and accepted in their entirety do not prima facie constitute any offence or make out the case alleged against the accused.,94
complaint,Party,can be quashed where,accused,Accused,A complaint can be dismissed (quashed) if the allegations do not constitute an offence against the accused.,A complaint can be quashed where the allegations made in the complaint even if they are taken at their face value and accepted in their entirety do not prima facie constitute any offence or make out the case alleged against the accused.,94
complaint,lawsuit,can be quashed where,allegations made in the complaint do not prima facie constitute any offence or make out the case alleged against the accused.,dispute,"A complaint may be dismissed if the allegations, even if taken at face value and accepted in their entirety, do not prima facie constitute any offence or make out the case alleged against the accused.",A complaint can be quashed where the allegations made in the complaint even if they are taken at their face value and accepted in their entirety do not prima facie constitute any offence or make out the case alleged against the accused.,94
complaint,Dispute,has to be examined as a whole but without examining the merits of the allegations.,the legal process,Obiter-Dictum,,For this purpose the complaint has to be examined as a whole but without examining the merits of the allegations.,97
,,,,,,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
,,,,,,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
,,,,,,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
,,,,,,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
,,,,,,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
,,,,,,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
,,,,,,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
,,,,,,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
,,,,,,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
,,,,,,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
Madhavrao Jiwaji Rao Scindia,plaintiff,versus,Sambhajirao Chandrojirao Angre,defendant,the plaintiff initiated a legal case against the defendant,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
State of Haryana,plaintiff,versus,Bhajanlal,defendant,the plaintiff initiated a legal case against the defendant,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
Rupan Deol Bajaj,plaintiff,versus,Kanwar Pal Singh Gill,defendant,the plaintiff initiated a legal case against the defendant,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
Central Bureau of Investigation,plaintiff,versus,Duncans Agro Industries limited,defendant,the plaintiff initiated a legal case against the defendant,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
State of Bihar,plaintiff,versus,Rajendra Agrawalla,defendant,the plaintiff initiated a legal case against the defendant,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
Rajesh Bajaj,plaintiff,versus,State NCT of Delhi,defendant,the plaintiff initiated a legal case against the defendant,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
Medchl Chemicals Pharma (P) limited,plaintiff,versus,Biological E limited,defendant,the plaintiff initiated a legal case against the defendant,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
Hridaya Ranjan Prasad Verma,plaintiff,versus,State of Bihar,defendant,the plaintiff initiated a legal case against the defendant,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
M. Krishnan,plaintiff,versus,Vijay Kumar,defendant,the plaintiff initiated a legal case against the defendant,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
